OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
ADI US 1/18/2019 C110 Equity,6/18/2018,,4.0,2.95000005,0.23077,101.1,101.09
ADI US 1/18/2019 C110 Equity,6/19/2018,,3.5,2.5,0.22649,100.07,100.06
ADI US 1/18/2019 C110 Equity,6/20/2018,,3.5,3.29999995,0.21637,100.95,100.94
ADI US 1/18/2019 C110 Equity,6/21/2018,,3.20000005,2.70000005,0.22782,99.15,99.14
ADI US 1/18/2019 C110 Equity,6/22/2018,,3.9000001,2.20000005,0.25371,99.2,99.19
ADI US 1/18/2019 C110 Equity,6/25/2018,,2.95000005,2.45000005,0.23329,98.07,98.06
ADI US 1/18/2019 C110 Equity,6/26/2018,,3.29999995,1.79999995,0.24039,98.66,98.65
ADI US 1/18/2019 C110 Equity,6/27/2018,,3.0,1.85000002,0.25265,96.67,96.66
ADI US 1/18/2019 C110 Equity,6/28/2018,,3.20000005,1.39999998,0.27124000000000004,95.84,95.83
ADI US 1/18/2019 C110 Equity,6/29/2018,,2.3499999,1.20000005,0.23494,95.95,95.94
ADI US 1/18/2019 C110 Equity,7/2/2018,,2.79999995,1.75,0.25356,96.21,96.2
ADI US 1/18/2019 C110 Equity,7/3/2018,,1.89999998,1.54999995,0.23197,94.52,94.51
ADI US 1/18/2019 C110 Equity,7/4/2018,,1.89999998,1.54999995,0.23197,94.52,94.51
ADI US 1/18/2019 C110 Equity,7/5/2018,,2.20000005,1.64999998,0.22696999999999998,96.41,96.4
ADI US 1/18/2019 C110 Equity,7/6/2018,,2.79999995,1.35000002,0.2452,97.16,97.15
ADI US 1/18/2019 C110 Equity,7/9/2018,,2.5,1.5,0.23514000000000002,97.1,97.09
ADI US 1/18/2019 C110 Equity,7/10/2018,,2.70000005,1.70000005,0.22774,98.52,98.51
ADI US 1/18/2019 C110 Equity,7/11/2018,,2.29999995,1.54999995,0.237,96.27,96.26
ADI US 1/18/2019 C110 Equity,7/12/2018,,2.70000005,2.29999995,0.22998,98.44,98.43
ADI US 1/18/2019 C110 Equity,7/13/2018,,2.6500001,2.20000005,0.2322,98.13,98.12
ADI US 1/18/2019 C110 Equity,7/16/2018,,2.45000005,2.04999995,0.23139,97.62,97.61
ADI US 1/18/2019 C110 Equity,7/17/2018,,2.6500001,2.0999999,0.2333,98.26,98.25
ADI US 1/18/2019 C110 Equity,7/18/2018,,2.75,2.20000005,0.22739,99.13,99.12
ADI US 1/18/2019 C110 Equity,7/19/2018,,2.5,1.79999995,0.22784,98.3,98.29
ADI US 1/18/2019 C110 Equity,7/20/2018,,2.45000005,1.45000005,0.23081,97.92,97.91
ADI US 1/18/2019 C110 Equity,7/23/2018,,2.5,1.85000002,0.23653,97.81,97.8
ADI US 1/18/2019 C110 Equity,7/24/2018,,2.1500001,1.75,0.22529000000000002,97.49,97.48
ADI US 1/18/2019 C110 Equity,7/25/2018,,1.70000005,1.10000002,0.21655,96.44,96.43
ADI US 1/18/2019 C110 Equity,7/26/2018,,2.20000005,1.54999995,0.22735999999999998,97.67,97.66
ADI US 1/18/2019 C110 Equity,7/27/2018,,2.20000005,1.64999998,0.23545,97.02,97.01
ADI US 1/18/2019 C110 Equity,7/30/2018,,1.75,1.29999995,0.23571,95.26,95.25
ADI US 1/18/2019 C110 Equity,7/31/2018,,1.75,1.39999998,0.22674,96.13,96.12
ADI US 1/18/2019 C110 Equity,8/1/2018,,1.79999995,1.0,0.2315,96.03,96.02
ADI US 1/18/2019 C110 Equity,8/2/2018,,1.5,0.85000002,0.21418000000000004,96.27,96.26
ADI US 1/18/2019 C110 Equity,8/3/2018,,2.5,0.94999999,0.26148000000000005,96.57,96.56
ADI US 1/18/2019 C110 Equity,8/6/2018,,1.54999995,1.35000002,0.20833,97.31,97.3
ADI US 1/18/2019 C110 Equity,8/7/2018,,2.0,1.64999998,0.21594,98.63,98.62
ADI US 1/18/2019 C110 Equity,8/8/2018,,1.75,1.5,0.20432999999999998,98.62,98.61
ADI US 1/18/2019 C110 Equity,8/9/2018,,1.64999998,1.25,0.20937,97.81,97.8
ADI US 1/18/2019 C110 Equity,8/10/2018,,1.39999998,0.60000002,0.22981999999999997,94.88,94.87
ADM US 1/18/2019 C50 Equity,11/14/2016,,3.5999999,2.80999994,0.25910999999999995,42.84,42.83
ADM US 1/18/2019 C50 Equity,11/15/2016,,3.6500001,2.86999989,0.25093000000000004,43.48,43.47
ADM US 1/18/2019 C50 Equity,11/16/2016,,3.54999995,2.99000001,0.25021,43.26,43.25
ADM US 1/18/2019 C50 Equity,11/17/2016,,3.54999995,2.8599999,0.25388,43.01,43.0
ADM US 1/18/2019 C50 Equity,11/18/2016,,3.5999999,3.1500001,0.24785,43.51,43.5
ADM US 1/18/2019 C50 Equity,11/21/2016,,3.75,2.99000001,0.25240999999999997,43.64,43.63
ADM US 1/18/2019 C50 Equity,11/22/2016,,3.54999995,2.99000001,0.24564,43.55,43.54
ADM US 1/18/2019 C50 Equity,11/23/2016,,3.20000005,2.76999998,0.23526,43.23,43.22
ADM US 1/18/2019 C50 Equity,11/24/2016,,3.20000005,2.76999998,0.23526,43.23,43.22
ADM US 1/18/2019 C50 Equity,11/25/2016,,3.6500001,2.8499999,0.25059000000000003,43.53,43.52
ADM US 1/18/2019 C50 Equity,11/28/2016,,3.4000001,2.86999989,0.24654,43.11,43.1
ADM US 1/18/2019 C50 Equity,11/29/2016,,3.25,2.73000002,0.24531999999999995,42.82,42.81
ADM US 1/18/2019 C50 Equity,11/30/2016,,3.3499999,2.94000006,0.24232,43.28,43.27
ADM US 1/18/2019 C50 Equity,12/1/2016,,3.8499999,3.3499999,0.24731,44.26,44.25
ADM US 1/18/2019 C50 Equity,12/2/2016,,3.9000001,3.4000001,0.25283,43.98,43.97
ADM US 1/18/2019 C50 Equity,12/5/2016,,3.6500001,3.20000005,0.244,43.87,43.86
ADM US 1/18/2019 C50 Equity,12/6/2016,,4.0,3.45000005,0.24616,44.63,44.62
ADM US 1/18/2019 C50 Equity,12/7/2016,,4.0999998999999985,3.6500001,0.24219,45.13,45.12
ADM US 1/18/2019 C50 Equity,12/8/2016,,4.5,4.05000019,0.24493,45.98,45.97
ADM US 1/18/2019 C50 Equity,12/9/2016,,4.80000019,4.25,0.24827,46.53,46.52
ADM US 1/18/2019 C50 Equity,12/12/2016,,5.0999999,4.55000019,0.25076,47.01,47.0
ADM US 1/18/2019 C50 Equity,12/13/2016,,5.05000019,4.4000001,0.25824,46.39,46.38
ADM US 1/18/2019 C50 Equity,12/14/2016,,4.5,4.0,0.25086,45.57,45.56
ADM US 1/18/2019 C50 Equity,12/15/2016,,4.55000019,4.1500001000000015,0.25013,45.73,45.72
