,OPTION_NAME,DATE,EOD_OPTION_PRICE_LAST,EOD_OPTION_PRICE_ASK,EOD_OPTION_PRICE_BID,IVOL_LAST,EOD_UNDERLYING_PRICE_ASK,EOD_UNDERLYING_PRICE_BID
0,NBIX US 08/17/18 C100 Equity,12/18/2017,,70.48999786,1.75,0.7048999786,2.3,40.96
1,NBIX US 08/17/18 C100 Equity,12/19/2017,,68.93000031,1.45000005,0.6893000031,2.0,41.03
2,NBIX US 08/17/18 C100 Equity,12/20/2017,,71.41000366,1.70000005,0.7141000366,2.46,40.94
3,NBIX US 08/17/18 C100 Equity,12/21/2017,,71.65499878,1.85000002,0.7165499878,2.25,39.53
4,NBIX US 08/17/18 C100 Equity,12/22/2017,,71.83999634,2.04999995,0.7183999634,2.41,40.32
5,NBIX US 08/17/18 C100 Equity,12/25/2017,,71.83999634,2.04999995,0.7183999634,2.41,40.32
6,NBIX US 08/17/18 C100 Equity,12/26/2017,,71.73000336,2.0,0.7173000335999999,2.3,40.06
7,NBIX US 08/17/18 C100 Equity,12/27/2017,,73.72000122,2.3499999,0.7372000122,2.91,41.13
8,NBIX US 08/17/18 C100 Equity,12/28/2017,,75.30999756,2.6500001,0.7530999756,3.1,40.18
9,NBIX US 08/17/18 C100 Equity,12/29/2017,,77.54000092,3.0,0.7754000092,4.0,41.86
10,NBIX US 08/17/18 C100 Equity,1/1/2018,,77.54000092,3.0,0.7754000092,4.0,41.86
11,NBIX US 08/17/18 C100 Equity,1/2/2018,,79.01000214,3.29999995,0.7901000214,4.31,41.59
12,NBIX US 08/17/18 C100 Equity,1/3/2018,,82.98000336,5.0999999,0.8298000336,6.0,43.44
13,NBIX US 08/17/18 C100 Equity,1/4/2018,,80.13999939,4.0,0.8013999939,4.91,42.88
14,NBIX US 08/17/18 C100 Equity,1/5/2018,,81.63990021,4.5,0.8163990020999999,5.41,43.0
15,NBIX US 08/17/18 C100 Equity,1/8/2018,,77.69000244,3.29999995,0.7769000244,4.2,43.66
16,NBIX US 08/17/18 C100 Equity,1/9/2018,,79.51000214,3.70000005,0.7951000214,4.5,42.66
17,NBIX US 08/17/18 C100 Equity,1/10/2018,,79.93000031,4.0,0.7993000030999999,4.7,43.13
18,NBIX US 08/17/18 C100 Equity,1/11/2018,,79.05000305,3.5,0.7905000305000001,4.0,41.26
19,NBIX US 08/17/18 C100 Equity,1/12/2018,,81.30999756,3.9000001,0.8130999756,5.0,42.92
20,NBIX US 08/17/18 C100 Equity,1/15/2018,,81.30999756,3.9000001,0.8130999756,5.0,42.92
21,NBIX US 08/17/18 C100 Equity,1/16/2018,,76.25499725,2.70000005,0.7625499725,3.41,42.71
22,NBIX US 08/17/18 C100 Equity,1/17/2018,,75.94999695,2.4000001,0.7594999695,3.71,44.78
23,NBIX US 08/17/18 C100 Equity,1/18/2018,,78.62000275,3.0,0.7862000275,3.6,40.7
24,NBIX US 08/17/18 C100 Equity,1/19/2018,,80.66999817,3.5,0.8066999817,4.0,39.93
25,NBIX US 08/17/18 C100 Equity,1/22/2018,,85.18000031,5.0,0.8518000030999999,6.0,42.38
26,NBIX US 08/17/18 C100 Equity,1/23/2018,,87.90000153,5.9000001,0.8790000152999999,7.0,42.16
27,NBIX US 08/17/18 C100 Equity,1/24/2018,,88.76999664,6.19999981,0.8876999664,7.5,42.73
28,NBIX US 08/17/18 C100 Equity,1/25/2018,,86.84999847,6.0,0.8684999847,6.81,42.98
29,NBIX US 08/17/18 C100 Equity,1/26/2018,,88.90000153,6.80000019,0.8890000153,7.81,43.58
30,NBIX US 08/17/18 C100 Equity,1/29/2018,,90.76999664,8.19999981,0.9076999664000001,8.9,44.88
31,NBIX US 08/17/18 C100 Equity,1/30/2018,,86.98000336,6.0,0.8698000336,8.2,48.7
32,NBIX US 08/17/18 C100 Equity,1/31/2018,,85.55000305,6.0999999,0.8555000305,7.41,47.88
33,NBIX US 08/17/18 C100 Equity,2/1/2018,,85.91000366,5.80000019,0.8591000366,7.41,47.44
34,NBIX US 08/17/18 C100 Equity,2/2/2018,,83.38999939,5.19999981,0.8338999939,6.91,49.61
35,NBIX US 08/17/18 C100 Equity,2/5/2018,,81.75,3.9000001,0.8175,7.0,53.3
36,NBIX US 08/17/18 C100 Equity,2/6/2018,,82.51999664,4.4000001,0.8251999664,6.1,48.38
37,NBIX US 08/17/18 C100 Equity,2/7/2018,,83.01499939,5.0,0.8301499939,5.91,46.82
38,NBIX US 08/17/18 C100 Equity,2/8/2018,,78.95999908,3.0999999,0.7895999908,4.7,47.68
39,NBIX US 08/17/18 C100 Equity,2/9/2018,,79.76999664,3.5999999,0.7976999664000001,5.41,49.9
40,NBIX US 08/17/18 C100 Equity,2/12/2018,,82.13999939,3.9000001,0.8213999939,5.1,45.48
41,NBIX US 08/17/18 C100 Equity,2/13/2018,,83.52999878,4.0,0.8352999878,6.0,47.51
42,NBIX US 08/17/18 C100 Equity,2/14/2018,,85.54000092,4.30000019,0.8554000091999999,6.5,46.55
43,NBIX US 08/17/18 C100 Equity,2/15/2018,,85.54000092,4.5999999,0.8554000091999999,5.81,43.5
44,NBIX US 08/17/18 C100 Equity,2/16/2018,,85.26999664,4.5999999,0.8526999664,5.81,44.02
45,NBIX US 08/17/18 C100 Equity,2/19/2018,,85.26999664,4.5999999,0.8526999664,5.81,44.02
46,NBIX US 08/17/18 C100 Equity,2/20/2018,,84.51999664,4.30000019,0.8451999664000001,5.7,45.29
47,NBIX US 08/17/18 C100 Equity,2/21/2018,,85.08000183,4.80000019,0.8508000183,5.41,43.11
48,NBIX US 08/17/18 C100 Equity,2/22/2018,,85.45999908,4.5,0.8545999908,5.81,44.36
49,NBIX US 08/17/18 C100 Equity,2/23/2018,,84.19000244,3.70000005,0.8419000244,4.5,40.49
50,NBIX US 08/17/18 C100 Equity,2/26/2018,,83.69999695,3.70000005,0.8369999695,4.6,41.96
51,NBIX US 08/17/18 C100 Equity,2/27/2018,,84.62999725,3.79999995,0.8462999725,5.1,43.04
52,NBIX US 08/17/18 C100 Equity,2/28/2018,,84.58999634,3.5,0.8458999634,4.91,42.35
53,NBIX US 08/17/18 C100 Equity,3/1/2018,,84.18000031,4.099999899999999,0.8418000030999999,4.6,41.68
54,NBIX US 08/17/18 C100 Equity,3/2/2018,,85.95999908,4.099999899999999,0.8595999908,5.2,41.69
55,NBIX US 08/17/18 C100 Equity,3/5/2018,,90.23500061,5.80000019,0.9023500061,6.81,42.0
56,NBIX US 08/17/18 C100 Equity,3/6/2018,,90.02500153,5.4000001,0.9002500152999999,6.6,41.51
57,NBIX US 08/17/18 C100 Equity,3/7/2018,,91.36000061,6.19999981,0.9136000061,7.1,41.45
58,NBIX US 08/17/18 C100 Equity,3/8/2018,,91.87000275,6.30000019,0.9187000275,7.31,41.45
59,NBIX US 08/17/18 C100 Equity,3/9/2018,,92.44000244,6.5,0.9244000244,7.2,40.04
60,NBIX US 08/17/18 C100 Equity,3/12/2018,,90.65000153,5.5999999,0.9065000153,6.41,40.19
61,NBIX US 08/17/18 C100 Equity,3/13/2018,,90.23500061,5.69999981,0.9023500061,6.41,41.09
62,NBIX US 08/17/18 C100 Equity,3/14/2018,,92.30999756,6.4000001,0.9230999756,7.31,41.3
63,NBIX US 08/17/18 C100 Equity,3/15/2018,,91.69999695,6.19999981,0.9169999695,7.2,42.13
64,NBIX US 08/17/18 C100 Equity,3/16/2018,,87.95999908,4.099999899999999,0.8795999908000001,6.31,45.12
65,NBIX US 08/17/18 C100 Equity,3/19/2018,,85.0,3.9000001,0.85,5.0,44.77
66,NBIX US 08/17/18 C100 Equity,3/20/2018,,84.86000061,2.95000005,0.8486000061,4.0,40.22
67,NBIX US 08/17/18 C100 Equity,3/21/2018,,84.91999817,3.20000005,0.8491999817,4.0,40.32
68,NBIX US 08/17/18 C100 Equity,3/22/2018,,84.16000366,2.5999999,0.8416000366,4.31,43.31
